Graph size,Flexible forward,Constant forward,Flexible backward,Constant backward
121.0,0.0219991,0.00100064,0.0369983,0.0150003
114.0,0.0229988,0.00100017,0.0259993,0.00200248
132.0,0.0379994,0.00200009,0.0419989,0.00400209
153.0,0.0219991,0.00100088,0.0199997,0.0010004
134.0,0.0349989,0.00200033,0.0729966,0.0320022
173.0,0.0349956,0.00200152,0.0409989,0.00901413
173.0,0.0229981,0.000999928,0.022999,0.00200438
100.0,0.016032,0.00200129,0.0150025,0.00199819
161.0,0.0340028,0.000998735,0.0730033,0.0349998
194.0,0.0309997,0.00100303,0.0349956,0.00200081
169.0,0.0290024,0.00199842,0.0409975,0.0100007
186.0,0.03,0.00200129,0.0259995,0.00199866
156.0,0.029,0.00199914,0.0289993,0.00100279
183.0,0.0330026,0.00199723,0.0739999,0.0310001
187.0,0.0430017,0.00200224,0.0509996,0.00700164
221.0,0.0299995,0.00200105,0.0309973,0.00199986
205.0,0.0250001,0.00200081,0.0230005,0.0010004
149.0,0.0339968,0.00200009,0.059,0.0190003
239.0,0.0279973,0.00100017,0.0310004,0.00200033
167.0,0.0205276,0.00200081,0.0219998,0.00400233
185.0,0.0499954,0.00300407,0.046001,0.00200248
225.0,0.0459991,0.002002,0.0389998,0.00200129
207.0,0.0269969,0.00200129,0.0250001,0.00200176
215.0,0.0389981,0.0040009,0.0329993,0.00200081
201.0,0.0210018,0.00200176,0.0210519,0.00200129
155.0,0.0469999,0.00200033,0.0440018,0.000999212
210.0,0.0400002,0.00200319,0.0749974,0.0360003
213.0,0.115016,0.00199699,0.0930016,0.00199819
261.0,0.0629969,0.00200415,0.0579987,0.00199795
263.0,0.0469944,0.00200033,0.0469985,0.00199962
234.0,0.0599976,0.00199914,0.0909984,0.0540013
206.0,0.0419993,0.00200391,0.0429995,0.00200129
235.0,0.0670004,0.00200105,0.0861032,0.023998
265.0,0.0669985,0.00200033,0.0699978,0.00200105
291.0,0.0720019,0.00299954,0.0789945,0.00300217
286.0,0.0299973,0.00300026,0.0550029,0.0279963
189.0,0.0480003,0.00200057,0.0589952,0.00500107
237.0,0.0679996,0.00199866,0.0709982,0.00200129
299.0,0.0579987,0.00199842,0.0569963,0.00299859
192.0,0.0369973,0.0010004,0.0739977,0.0300009
231.0,0.0529997,0.00100088,0.0629971,0.00200033
244.0,0.0519993,0.00200248,0.0500019,0.00199938
231.0,0.0419981,0.00199962,0.0460033,0.0019989
178.0,0.0500009,0.00100207,0.0560026,0.00200105
203.0,0.0689974,0.00200152,0.0809984,0.0130022
265.0,0.0589979,0.00199842,0.0999999,0.023001
263.0,0.0470016,0.00299931,0.0500009,0.00299978
288.0,0.0529995,0.00200081,0.058002,0.00200009
245.0,0.0710003,0.00300026,0.0679996,0.00200129
241.0,0.11624,0.00299788,0.240998,0.204999
295.0,0.0699997,0.00200105,0.0820048,0.00299859
258.0,0.131004,0.00199747,0.156998,0.0240009
370.0,0.0889966,0.00300264,0.0940013,0.00300097
284.0,0.0840003,0.00199914,0.0890021,0.00199819
317.0,0.0719969,0.00199986,0.0710013,0.00199771
282.0,0.0770433,0.00200009,0.0750008,0.00200176
284.0,0.112,0.00199652,0.111997,0.00200033
323.0,0.117999,0.002002,0.259998,0.211001
297.0,0.128998,0.00200129,0.163998,0.0310011
340.0,0.0539997,0.0030005,0.102999,0.046001
239.0,0.0559871,0.00200152,0.056,0.00200319
262.0,0.0650008,0.00200343,0.0670033,0.00300002
290.0,0.132002,0.00300097,0.130999,0.00199771
293.0,0.0980012,0.00199986,0.0920012,0.00199866
317.0,0.115003,0.00200152,0.110996,0.00300264
320.0,0.147001,0.00299978,0.201998,0.072
367.0,0.0810013,0.00299692,0.0860021,0.00500035
224.0,0.0849986,0.00200129,0.0840013,0.00199699
295.0,0.085001,0.00200105,0.119002,0.0279984
291.0,0.145004,0.00211239,0.199001,0.0479989
