sizes	no_filter_forward	no_filter_backward	no_filter_inference	flex_filter_forward	flex_filter_backward	flex_filter_inference	const_filter_forward	const_filter_backward	const_filter_inference
323	0.20399	0.210164	0.185239	0.122396	0.00193119	0.126892	0.107249	0.00158906	0.111645
297	0.189339	0.141594	0.181027	0.131736	0.00181675	0.135216	0.1195	0.00307655	0.121845
340	0.0991166	0.0856526	0.114421	0.0627615	0.00192785	0.0644443	0.0550022	0.00169468	0.0579739
239	0.0984051	0.0603564	0.0946009	0.0576117	0.00161958	0.0596442	0.0525584	0.00148582	0.0552268
262	0.128505	0.0924397	0.109772	0.0697322	0.00165129	0.0723889	0.0625889	0.00144458	0.0651267
290	0.210517	0.192204	0.239677	0.136904	0.00173497	0.139915	0.121745	0.00152516	0.122616
293	0.162691	0.122884	0.163042	0.0992432	0.00181365	0.101036	0.0896289	0.00151253	0.0920165
317	0.172945	0.136117	0.191235	0.114663	0.00184703	0.118529	0.103732	0.00158334	0.106069
320	0.206089	0.199889	0.212545	0.148297	0.0018847	0.150677	0.248372	0.130765	0.256946
367	0.153616	0.148417	0.137372	0.0819139	0.0019846	0.0839758	0.0908358	0.0129235	0.0900545
224	0.128069	0.0924103	0.157689	0.0868394	0.00163198	0.088958	0.142571	0.0721638	0.151296
295	0.181021	0.119119	0.139974	0.0892961	0.00176597	0.0914392	0.0854247	0.00328636	0.0828383
291	0.20912	0.16595	0.208806	0.149585	0.00176263	0.149375	0.13204	0.00179052	0.133927
325	0.243557	0.229465	0.251942	0.1594	0.00188518	0.162274	0.140384	0.00204825	0.143008
339	0.160519	0.125962	0.167748	0.110281	0.00196123	0.112705	0.151639	0.0517089	0.154529
307	0.150781	0.115873	0.154251	0.0959196	0.00183582	0.0985575	0.0910616	0.00288486	0.0895741
286	0.314923	0.188692	0.28289	0.172534	0.00178123	0.175657	0.153748	0.00156355	0.159983
388	0.223709	0.252377	0.221062	0.115313	0.00216722	0.122349	0.173294	0.0792971	0.182125
264	0.207328	0.123885	0.199699	0.128415	0.00171137	0.130396	0.156746	0.038229	0.157772
332	0.249444	0.243846	0.256134	0.14664	0.00188947	0.149527	0.14266	0.00709462	0.14537
341	0.166307	0.128654	0.166757	0.0929842	0.00376964	0.0955524	0.0843651	0.00184751	0.0856373
319	0.166642	0.0643747	0.0973339	0.0551925	0.00182843	0.058094	0.0525162	0.00154996	0.0556469
262	0.122441	0.0913124	0.123267	0.0782359	0.00172329	0.0788727	0.0689819	0.00157666	0.0713565
283	0.16115	0.104176	0.173406	0.110227	0.00179815	0.112532	0.120074	0.015281	0.126188
368	0.259795	0.16382	0.237794	0.14563	0.0019865	0.147133	0.168934	0.0316918	0.172958
359	0.236208	0.209532	0.2412	0.145252	0.00196242	0.147837	0.176411	0.0451667	0.175968
358	0.110593	0.102242	0.104541	0.0595417	0.00196791	0.0633252	0.0583363	0.00279951	0.0584896
239	0.159431	0.0925343	0.195536	0.099659	0.00164175	0.102445	0.111629	0.0194218	0.116619
302	0.202492	0.129531	0.172622	0.125013	0.0018239	0.128703	0.156751	0.0432887	0.159053
352	0.187267	0.160214	0.202456	0.122323	0.00196862	0.126048	0.118293	0.00294948	0.118592
325	0.201522	0.172908	0.220776	0.131683	0.0019474	0.136007	0.124327	0.00308228	0.125386
321	0.28369	0.227851	0.28354	0.179534	0.00192118	0.178966	0.158419	0.00161099	0.163493
344	0.220283	0.168734	0.191584	0.122892	0.00192642	0.124951	0.111399	0.00162196	0.114597
336	0.131617	0.0956757	0.145951	0.0805068	0.00195432	0.08237	0.0732129	0.00165844	0.0752647
287	0.0979125	0.05878	0.0924046	0.0725365	0.00180435	0.0715311	0.0638425	0.00155139	0.0668449
277	0.171077	0.109697	0.173247	0.136964	0.00170135	0.135962	0.121155	0.00150466	0.125659
