Graph size,Flexible forward,Constant forward,Flexible backward,Constant backward
121.0,0.0199986,0.00200319,0.0329964,0.00800014
114.0,0.0309982,0.0010004,0.026994,0.00200295
132.0,0.0449967,0.00100064,0.0990016,0.0449998
153.0,0.0229993,0.00100017,0.0250032,0.00200009
134.0,0.0409963,0.00200319,0.0820026,0.0389984
173.0,0.0319998,0.00200105,0.0410058,0.000996351
173.0,0.020999,0.00200415,0.0240011,0.00200438
100.0,0.0160034,0.00100017,0.0190041,0.000998974
161.0,0.0390007,0.00100017,0.0410011,0.00200319
194.0,0.0299993,0.00100112,0.0380018,0.00200009
169.0,0.0289989,0.00200057,0.0329983,0.00200033
186.0,0.0299997,0.00199866,0.031002,0.00200009
156.0,0.0329981,0.00200057,0.0339987,0.00200009
183.0,0.0410004,0.00199842,0.0439992,0.00199986
187.0,0.0399997,0.00200057,0.069994,0.024003
221.0,0.0309994,0.00200129,0.0339966,0.00200057
205.0,0.0259976,0.0020051,0.0280004,0.00100088
149.0,0.0420709,0.00199771,0.0620019,0.0189981
239.0,0.0320067,0.00200105,0.051996,0.0230043
167.0,0.0209985,0.00199914,0.0229981,0.00177646
185.0,0.0509992,0.00199866,0.0569999,0.00200081
225.0,0.036,0.00200081,0.0450025,0.0059979
207.0,0.0260017,0.00199962,0.0299952,0.00200105
215.0,0.0350003,0.00200105,0.038002,0.00200057
201.0,0.0190003,0.00199986,0.0370014,0.0130005
155.0,0.0429976,0.00200152,0.0889966,0.0350027
210.0,0.0319979,0.00200057,0.0450001,0.00200009
213.0,0.0860007,0.00199699,0.108002,0.00200081
261.0,0.0600004,0.00200033,0.0559988,0.00200248
263.0,0.0400004,0.00200009,0.0489998,0.00200057
234.0,0.0549989,0.00200009,0.0620022,0.00199866
206.0,0.0479989,0.00200295,0.0490134,0.00199986
235.0,0.0619998,0.002002,0.0630009,0.00200057
265.0,0.065001,0.00199699,0.0779982,0.00300026
291.0,0.0799999,0.00200438,0.086,0.00200081
286.0,0.0259991,0.00199986,0.0609999,0.026
189.0,0.0489976,0.00100017,0.0539987,0.00100183
237.0,0.0710006,0.0019989,0.0790019,0.00200295
299.0,0.0609934,0.00300121,0.115999,0.0709977
192.0,0.0369995,0.002002,0.0690024,0.0299983
231.0,0.0649991,0.00199986,0.0710013,0.00200152
244.0,0.0479996,0.00200009,0.057003,0.00199747
