Graph size,Flexible forward,Constant forward,Flexible backward,Constant backward
347.0,0.151,0.00300169,0.155997,0.172995
410.0,0.206001,0.00300312,0.219,0.175
398.0,0.218997,0.00400305,0.218996,0.275011
477.0,0.215997,0.00200009,0.226005,0.23859
394.0,0.136072,0.00299835,0.138003,0.129
410.0,0.104001,0.00299764,0.107,0.101002
335.0,0.118,0.00300002,0.114,0.109
391.0,0.225001,0.00300217,0.223997,0.227004
450.0,0.253186,0.00200129,0.245002,0.464999
463.0,0.339,0.00499964,0.338999,0.666016
538.0,0.198,0.00400233,0.196374,0.230002
386.0,0.0730004,0.00299883,0.0800052,0.068996
311.0,0.128017,0.00299978,0.127001,0.131002
415.0,0.154088,0.00300097,0.154019,0.351004
215.0,0.0279965,0.0010035,0.027997,0.0459998
225.0,0.0210083,0.00100136,0.0169981,0.0209997
258.0,0.0239983,0.00100017,0.0220006,0.0209975
273.0,0.033,0.00200009,0.0369999,0.0389986
281.0,0.0289981,0.00200057,0.0309999,0.0649967
325.0,0.0199997,0.00200105,0.0189993,0.0429988
249.0,0.0339983,0.00200081,0.0339992,0.0619998
254.0,0.022001,0.00200105,0.0229979,0.0240002
332.0,0.0330031,0.00199866,0.0360005,0.0310001
339.0,0.0639994,0.00200129,0.0640125,0.065001
340.0,0.0240092,0.00299335,0.023998,0.0240002
321.0,0.0330009,0.00199962,0.0320513,0.0349998
323.0,0.0479977,0.00199914,0.0470004,0.0479996
348.0,0.0640004,0.00300074,0.0649986,0.0790026
385.0,0.0299997,0.00200081,0.0300021,0.0290017
408.0,0.0250003,0.00199819,0.0240026,0.0209963
335.0,0.0265124,0.00199819,0.0270014,0.0239997
370.0,0.022994,0.00200105,0.0255208,0.033
390.0,0.0420041,0.00199866,0.0409968,0.0859969
342.0,0.0509958,0.00100088,0.0470042,0.0469978
386.0,0.0400007,0.00200176,0.0419996,0.0710011
412.0,0.0519984,0.00200081,0.0529997,0.0489993
411.0,0.0389991,0.00200295,0.036001,0.0339973
399.0,0.0309985,0.00200081,0.0300014,0.0330119
343.0,0.0310018,0.00200224,0.0299954,0.0319967
339.0,0.0470009,0.00099802,0.0479991,0.0449982
403.0,0.0750027,0.00199914,0.0779953,0.0759981
426.0,0.0849972,0.00200152,0.0810168,0.120005
498.0,0.0569987,0.00200391,0.058996,0.130003
472.0,0.0450034,0.00299692,0.0479994,0.058002
410.0,0.0450048,0.00199986,0.0459957,0.0470011
421.0,0.0479989,0.00200129,0.043999,0.0459976
472.0,0.0559983,0.00200009,0.0530009,0.0990012
528.0,0.0770009,0.00199986,0.0790026,0.0819988
541.0,0.0339975,0.00200152,0.0319986,0.069001
458.0,0.0520198,0.00199914,0.0489988,0.109002
401.0,0.0439987,0.00100088,0.0530021,0.0899971
508.0,0.0540001,0.00200081,0.0469999,0.0489984
463.0,0.0499976,0.00200248,0.047997,0.0510032
403.0,0.0450008,0.0019989,0.0480003,0.0499952
445.0,0.0380023,0.00199866,0.038996,0.043
453.0,0.0290012,0.00199962,0.0290015,0.0519979
381.0,0.0420105,0.00200105,0.0439994,0.0410042
351.0,0.0670025,0.000999689,0.0640004,0.0719998
439.0,0.0559967,0.00200033,0.0589995,0.0709989
494.0,0.0919993,0.00199962,0.0930014,0.199999
529.0,0.0615199,0.00299883,0.0700057,0.0690019
503.0,0.0509973,0.00299931,0.0509992,0.0989976
450.0,0.108999,0.00200057,0.108,0.117999
489.0,0.0760021,0.00199628,0.0729988,0.116
517.0,0.175999,0.00200129,0.172999,0.165015
583.0,0.0829978,0.00200367,0.0859981,0.0830004
611.0,0.116,0.00300431,0.111997,0.124002
561.0,0.0800009,0.00300002,0.0870013,0.0850058
563.0,0.0560012,0.00200057,0.056,0.0559969
529.0,0.0829973,0.00200176,0.0909977,0.128002
559.0,0.0665336,0.00299859,0.0710008,0.0770001
572.0,0.123997,0.00200105,0.126001,0.122
590.0,0.0560005,0.00300121,0.0560024,0.0720005
545.0,0.0989981,0.00400829,0.107994,0.0999999
476.0,0.0950019,0.00200057,0.0929976,0.0900002
518.0,0.0759938,0.00200105,0.0740008,0.0730009
531.0,0.112001,0.0030005,0.118001,0.115001
566.0,0.165005,0.00200057,0.165993,0.157999
593.0,0.222999,0.00299835,0.214001,0.221999
637.0,0.0549977,0.00300479,0.0509982,0.114
547.0,0.125001,0.00299978,0.126997,0.33
479.0,0.076998,0.00199842,0.0590012,0.0699987
544.0,0.159003,0.0029974,0.162173,0.327998
562.0,0.159002,0.00300026,0.152516,0.163999
600.0,0.166004,0.00299907,0.167996,0.15205
604.0,0.117993,0.00200248,0.113002,0.106999
557.0,0.183996,0.00200272,0.185001,0.185001
621.0,0.0619988,0.00300002,0.0629983,0.0719976
598.0,0.203001,0.00300002,0.207001,0.43455
553.0,0.113997,0.00200248,0.113,0.119998
618.0,0.127063,0.00299954,0.138001,0.123
619.0,0.0959938,0.00300074,0.0960016,0.0849984
553.0,0.0760036,0.00299907,0.0719972,0.108
509.0,0.122995,0.00200248,0.131999,0.112998
612.0,0.173998,0.0030005,0.189999,0.348004
680.0,0.102007,0.00299549,0.113999,0.123996
664.0,0.0789936,0.00300193,0.0789986,0.220001
568.0,0.13299,0.00300193,0.128998,0.143001
503.0,0.107996,0.00200129,0.106004,0.108005
610.0,0.0930023,0.00299835,0.0909984,0.151997
626.0,0.160997,0.00300121,0.15,0.198015
593.0,0.149003,0.00299788,0.161999,0.161997
602.0,0.120999,0.00200081,0.120999,0.148001
631.0,0.105998,0.00300074,0.115,0.11301
589.0,0.0899975,0.00300241,0.0859971,0.0839994
535.0,0.119518,0.00200033,0.110997,0.196031
596.0,0.133998,0.00200009,0.143002,0.26401
651.0,0.163999,0.00300121,0.165997,0.138013
712.0,0.0910039,0.00300097,0.0939977,0.181465
668.0,0.222995,0.00299954,0.217521,0.25602
638.0,0.278003,0.00299668,0.283998,0.276002
801.0,0.207515,0.00300097,0.191001,0.19
763.0,0.308125,0.00499988,0.327001,0.31206
695.0,0.115001,0.00200009,0.122997,0.124021
692.0,0.221001,0.00299835,0.227,0.364002
705.0,0.117999,0.00400066,0.114999,0.140991
672.0,0.121005,0.00299382,0.128004,0.142002
628.0,0.155003,0.00299931,0.154998,0.211
701.0,0.219,0.00399947,0.225,0.253999
753.0,0.180002,0.00299859,0.185052,0.223997
775.0,0.133,0.00300217,0.131998,0.138999
707.0,0.109,0.00300288,0.112999,0.249001
592.0,0.166004,0.00199866,0.169999,0.343
646.0,0.114003,0.00299954,0.128003,0.175001
755.0,0.27208,0.00199986,0.258001,0.274996
842.0,0.215997,0.00300336,0.227995,0.246
809.0,0.231004,0.0039959,0.232006,0.232001
763.0,0.167998,0.00300002,0.162,0.179
719.0,0.112005,0.00299621,0.110997,0.113001
626.0,0.17,0.0030005,0.167,0.174002
698.0,0.113001,0.00299931,0.106999,0.115997
771.0,0.172556,0.00300121,0.175994,0.185516
717.0,0.166002,0.0030005,0.167998,0.172
680.0,0.126004,0.00299931,0.125995,0.132998
684.0,0.137998,0.00300479,0.144995,0.173003
710.0,0.188003,0.00300169,0.188996,0.194
747.0,0.204996,0.00300121,0.199001,0.207
815.0,0.183002,0.0030005,0.170996,0.368007
804.0,0.220001,0.00399876,0.224003,0.383997
766.0,0.110997,0.00400257,0.110017,0.117999
700.0,0.118999,0.00300384,0.125994,0.124002
692.0,0.155,0.002002,0.158998,0.169045
778.0,0.187001,0.00299788,0.184,0.192
843.0,0.301584,0.00299811,0.301,0.783002
905.0,0.177001,0.00300455,0.192995,0.202995
857.0,0.152001,0.00399947,0.152999,0.414006
668.0,0.187004,0.0019989,0.180002,0.183001
688.0,0.142995,0.00300264,0.145,0.236
311.0,0.0389991,0.00200033,0.0390029,0.0369978
343.0,0.0470033,0.00200057,0.0489955,0.0459998
367.0,0.0679972,0.00200057,0.0619993,0.0629992
402.0,0.0729988,0.00200081,0.0729992,0.069
418.0,0.039,0.00199914,0.040998,0.0399992
386.0,0.0619998,0.00200248,0.0629969,0.0700016
380.0,0.0599971,0.00200105,0.0540028,0.0590026
413.0,0.0440009,0.00200081,0.0459979,0.0450006
459.0,0.101997,0.00200081,0.0970004,0.113002
480.0,0.0470066,0.00299501,0.0499997,0.0500004
464.0,0.0809979,0.0030005,0.0829978,0.0799987
474.0,0.085001,0.00199795,0.0840042,0.0899966
469.0,0.103,0.00299978,0.101998,0.106003
520.0,0.0380027,0.00200033,0.0379977,0.0420015
560.0,0.0440016,0.00300145,0.0429966,0.0469978
523.0,0.0810006,0.00300074,0.0760028,0.0860021
546.0,0.0470006,0.00200057,0.0469987,0.0459974
511.0,0.0511496,0.0030005,0.0519979,0.0499961
540.0,0.097997,0.00300097,0.091002,0.219208
524.0,0.0740006,0.00300097,0.0699983,0.0740025
555.0,0.076,0.0030005,0.0790012,0.0719988
593.0,0.0570002,0.00300002,0.0540025,0.0720003
579.0,0.0579958,0.00300026,0.0570018,0.0619988
524.0,0.0649984,0.0030005,0.0669992,0.112997
518.0,0.0689998,0.00300074,0.0690002,0.0740001
515.0,0.126998,0.0040009,0.122101,0.131
587.0,0.104999,0.0030005,0.108999,0.255999
632.0,0.0970032,0.00299859,0.0930035,0.0969977
682.0,0.0889983,0.00400066,0.0849993,0.0930011
628.0,0.107516,0.00300193,0.104999,0.11
608.0,0.100999,0.00300097,0.102001,0.165999
641.0,0.107998,0.00299954,0.105999,0.166
717.0,0.113069,0.00400043,0.112003,0.334001
753.0,0.0759959,0.00400043,0.0750003,0.0779996
699.0,0.0979998,0.00399899,0.103,0.101
649.0,0.0920944,0.00299644,0.100001,0.245999
655.0,0.0740159,0.00299931,0.0769978,0.0830009
648.0,0.0840003,0.00400281,0.0809965,0.0899975
658.0,0.103011,0.00400019,0.0970001,0.0940037
596.0,0.0919971,0.00299931,0.0880044,0.0930021
643.0,0.0740483,0.00300384,0.0749953,0.0790026
590.0,0.0920064,0.00299883,0.090996,0.093004
542.0,0.127001,0.00400138,0.126997,0.130999
566.0,0.100001,0.0030036,0.101,0.0950003
646.0,0.150998,0.00499988,0.154,0.195002
725.0,0.107998,0.0050025,0.101998,0.108
722.0,0.104998,0.00400329,0.104996,0.109998
687.0,0.204996,0.00400043,0.213002,0.465998
674.0,0.141998,0.00400162,0.140997,0.139998
691.0,0.266001,0.00300026,0.253,0.269998
797.0,0.146999,0.00400472,0.145996,0.249022
806.0,0.213001,0.00500178,0.214998,0.362999
847.0,0.205516,0.00499749,0.201001,0.210523
779.0,0.118001,0.00399876,0.121002,0.118995
791.0,0.170014,0.00399899,0.163525,0.290999
778.0,0.167,0.0029974,0.154463,0.164
787.0,0.198997,0.00400066,0.199002,0.203001
833.0,0.119998,0.00400019,0.120997,0.315999
777.0,0.177,0.0040009,0.173,0.179003
744.0,0.172001,0.00400019,0.180003,0.488997
699.0,0.160002,0.00400162,0.156,0.349998
741.0,0.178001,0.00399947,0.180999,0.207001
764.0,0.248003,0.00399685,0.254004,0.447998
793.0,0.361994,0.00400376,0.362999,0.354999
853.0,0.128999,0.00500774,0.128994,0.111
792.0,0.235999,0.0059998,0.224998,0.555
756.0,0.183994,0.00500393,0.194,0.204996
709.0,0.236998,0.0030005,0.212999,0.230002
772.0,0.250001,0.00299954,0.253001,0.268
799.0,0.292,0.00500083,0.291998,0.305
820.0,0.219997,0.00399971,0.219,0.479001
820.0,0.374999,0.00399971,0.367,0.955002
848.0,0.130996,0.00399995,0.128002,0.404
815.0,0.288001,0.0230389,0.282,0.301877
841.0,0.276997,0.00403261,0.273969,0.269998
809.0,0.189992,0.00400209,0.194002,0.178999
851.0,0.188999,0.0040009,0.196001,0.194999
812.0,0.140003,0.00499892,0.149998,0.381992
771.0,0.267,0.00499845,0.260004,0.532275
803.0,0.272003,0.00499868,0.278999,0.326517
878.0,0.223997,0.00400019,0.222998,0.470999
959.0,0.146518,0.00600243,0.153002,0.150997
845.0,0.202001,0.006001,0.196002,0.206
793.0,0.230999,0.00399876,0.240484,0.373002
783.0,0.150022,0.00400019,0.143,0.164999
865.0,0.251004,0.00399899,0.243156,0.355002
858.0,0.302033,0.00499916,0.305072,0.366001
835.0,0.225013,0.00399923,0.234032,0.370079
853.0,0.191,0.0049994,0.191014,0.237
847.0,0.169033,0.004004,0.172159,0.358016
800.0,0.240022,0.00399756,0.23613,0.231001
821.0,0.232001,0.00300121,0.223998,0.576998
848.0,0.265001,0.00499892,0.271002,0.274
998.0,0.194991,0.00500393,0.211997,0.332522
917.0,0.335003,0.00599623,0.345005,0.384001
964.0,0.579046,0.00399899,0.579,0.562997
1000.0,0.29207,0.00499916,0.294998,0.291
1033.0,0.430046,0.00500226,0.427,0.721015
1052.0,0.256998,0.00600195,0.261051,0.276999
946.0,0.320001,0.00499892,0.330002,0.462999
1001.0,0.243994,0.00500131,0.232998,0.238531
941.0,0.224002,0.00600052,0.218997,0.268999
928.0,0.348043,0.00499988,0.345,0.512517
954.0,0.342059,0.00399518,0.352001,0.329997
994.0,0.456998,0.00499964,0.449998,0.426
1074.0,0.262,0.0059998,0.274003,0.273007
1020.0,0.218002,0.00600028,0.218998,0.223999
924.0,0.365004,0.00399804,0.342001,0.462002
900.0,0.298003,0.00399899,0.301996,0.312998
969.0,0.404001,0.00499701,0.421999,1.063
1121.0,0.414241,0.00499392,0.404003,0.910001
1121.0,0.358979,0.00600314,0.357998,0.40301
1109.0,0.296011,0.00700831,0.291996,0.674003
1032.0,0.175999,0.00500011,0.189001,0.322001
951.0,0.336002,0.00600028,0.335002,0.702001
971.0,0.257997,0.00500178,0.258002,0.263999
1018.0,0.253997,0.0050025,0.265999,0.247999
1035.0,0.307998,0.00600147,0.316001,0.547999
996.0,0.281996,0.00500441,0.292996,0.563997
956.0,0.311404,0.0050137,0.320041,0.307999
1008.0,0.316999,0.00500965,0.323045,0.651997
1001.0,0.366,0.00499988,0.366629,0.414998
1121.0,0.322003,0.00499701,0.315,0.331995
1100.0,0.321678,0.00599813,0.326999,0.318997
1120.0,0.209002,0.00599694,0.223001,0.201001
1017.0,0.264997,0.006001,0.271999,0.291
1020.0,0.357366,0.00499463,0.363002,0.474
1048.0,0.308997,0.00500083,0.298001,0.302001
1134.0,0.544997,0.00600219,0.555004,0.5341
1218.0,0.339525,0.00599909,0.326001,0.326995
1183.0,0.245002,0.00699854,0.255619,0.259998
1084.0,0.375001,0.00599813,0.380002,0.404006
1000.0,0.289001,0.00399876,0.312003,0.311997
423.0,0.0539982,0.00199938,0.0629997,0.0569997
436.0,0.0829978,0.00200295,0.0799983,0.0739987
489.0,0.0969996,0.00300026,0.100001,0.106003
517.0,0.049999,0.00300145,0.0500035,0.0790019
470.0,0.0809996,0.00299859,0.0780582,0.0839975
500.0,0.0840034,0.00200009,0.085999,0.0950027
524.0,0.0730007,0.00299954,0.0650022,0.0699978
535.0,0.116999,0.00300002,0.112001,0.119004
587.0,0.0630009,0.0030005,0.0639997,0.0679967
590.0,0.111999,0.00400114,0.121001,0.111996
595.0,0.105001,0.00299764,0.109999,0.111001
605.0,0.144015,0.00400043,0.145999,0.305995
628.0,0.0670016,0.00299931,0.0669987,0.0690064
693.0,0.0680027,0.00399828,0.0670002,0.0579941
664.0,0.160002,0.00400066,0.16,0.148
708.0,0.0870001,0.00400376,0.0809958,0.0839975
675.0,0.0959983,0.0030005,0.0950024,0.0900002
656.0,0.129998,0.0040009,0.130003,0.137075
706.0,0.110997,0.00400019,0.112998,0.310005
681.0,0.109995,0.00400162,0.123999,0.366
724.0,0.0810015,0.00400114,0.0795145,0.0799999
750.0,0.0789936,0.0040009,0.0800023,0.0740035
693.0,0.0959992,0.00400066,0.0939996,0.204004
685.0,0.119001,0.00400043,0.117,0.124011
685.0,0.147,0.00399995,0.151003,0.156018
688.0,0.157998,0.00299835,0.148999,0.361021
782.0,0.137002,0.00399709,0.148002,0.145062
805.0,0.109001,0.00399852,0.113001,0.184004
827.0,0.154998,0.00500131,0.157,0.193037
804.0,0.158999,0.00500107,0.161999,0.292
805.0,0.145003,0.00399828,0.142998,0.175999
865.0,0.175,0.00500083,0.170002,0.282004
928.0,0.115,0.00500131,0.115,0.11317
890.0,0.162003,0.00599861,0.166,0.235
873.0,0.151996,0.0060041,0.152998,0.154052
887.0,0.111001,0.00500083,0.113002,0.306999
791.0,0.128,0.00400233,0.127998,0.126
836.0,0.152001,0.00500345,0.146995,0.38112
832.0,0.131,0.00500083,0.130002,0.37505
774.0,0.0949972,0.00400066,0.0959992,0.106316
756.0,0.131999,0.00500131,0.145999,0.145005
735.0,0.175992,0.00500083,0.168997,0.171001
737.0,0.190998,0.00400066,0.191002,0.458998
759.0,0.226445,0.00499916,0.212998,0.225
854.0,0.126001,0.00500274,0.126998,0.129001
908.0,0.163995,0.0060041,0.170995,0.451995
888.0,0.254001,0.0050025,0.244001,0.269
880.0,0.197035,0.00500011,0.197,0.404999
860.0,0.304001,0.00500035,0.298102,0.334002
952.0,0.215999,0.00500083,0.219001,0.506
996.0,0.291001,0.0040009,0.302999,0.326003
1017.0,0.272053,0.0059967,0.288521,0.686001
1031.0,0.189001,0.00699949,0.200005,0.457998
989.0,0.238,0.00600028,0.242002,0.232001
