Graph size,Flexible forward,Constant forward,Flexible backward,Constant backward
121.0,0.0299976,0.00100017,0.0409973,0.016005
114.0,0.0279977,0.00200081,0.029001,0.0010004
132.0,0.0419962,0.00100064,0.0399969,0.00200105
153.0,0.0170014,0.00200033,0.0209987,0.00200129
134.0,0.0360031,0.000997066,0.0459995,0.00500178
173.0,0.0339975,0.00100255,0.0379996,0.00200057
173.0,0.0209973,0.00200105,0.0229995,0.00200105
100.0,0.0159998,0.00100374,0.022002,0.00399542
161.0,0.0369997,0.00200129,0.0400002,0.00300074
194.0,0.0339978,0.00200272,0.0760002,0.044003
169.0,0.0280008,0.000998735,0.028996,0.00200224
186.0,0.0280008,0.00200295,0.0270009,0.00100088
156.0,0.0280018,0.00200009,0.0260024,0.00200105
183.0,0.0349998,0.00200033,0.0660026,0.026001
187.0,0.0409982,0.00200248,0.0819972,0.0420005
221.0,0.0259976,0.00200081,0.0599973,0.0280046
205.0,0.0239992,0.00200605,0.0560019,0.0270002
149.0,0.0360041,0.0010004,0.0384166,0.00158262
239.0,0.0249999,0.00200057,0.0460012,0.0169995
167.0,0.0199983,0.000999451,0.0220027,0.00400281
185.0,0.0489967,0.00200105,0.0519998,0.00200129
225.0,0.0350018,0.00199819,0.0350001,0.00200033
207.0,0.0250003,0.00200272,0.0319986,0.00500631
215.0,0.0360019,0.00100112,0.0539954,0.0230005
201.0,0.0230019,0.00200272,0.0219991,0.00200248
155.0,0.0470023,0.00199866,0.0919983,0.0409989
210.0,0.040998,0.00199962,0.071003,0.0349977
213.0,0.0909982,0.00200057,0.0970008,0.00199962
261.0,0.0549965,0.00300121,0.101997,0.0640008
263.0,0.0410008,0.00199842,0.0860009,0.057997
234.0,0.0510004,0.00200129,0.0569952,0.00300097
206.0,0.041003,0.00199699,0.0590012,0.0139978
235.0,0.059001,0.0019989,0.0690024,0.00800204
265.0,0.0650005,0.00200057,0.128002,0.0719976
291.0,0.0779996,0.002002,0.0810032,0.00199795
286.0,0.0289993,0.00300288,0.043997,0.0140026
189.0,0.0469999,0.00200391,0.0839984,0.0460029
237.0,0.0699992,0.00200081,0.084995,0.0119998
299.0,0.0539989,0.00200248,0.0479972,0.00300026
192.0,0.0380013,0.00099659,0.0350006,0.00100064
231.0,0.0599992,0.00200057,0.114001,0.0769989
244.0,0.0469999,0.00199771,0.0639973,0.0120013
231.0,0.0379996,0.00200057,0.0820017,0.0439997
178.0,0.0529978,0.00100064,0.0620008,0.00400043
203.0,0.0619979,0.00200057,0.0749998,0.0109999
265.0,0.055999,0.00199771,0.118001,0.0690012
263.0,0.0410013,0.00400233,0.0479965,0.00200224
288.0,0.0569985,0.00200105,0.0909991,0.0330012
245.0,0.0719991,0.00200057,0.0699997,0.00200033
241.0,0.0999987,0.00200295,0.111,0.00199986
295.0,0.0669971,0.00199986,0.0800004,0.00500083
258.0,0.121,0.00200152,0.132002,0.00199819
370.0,0.0940003,0.00300121,0.229,0.195002
284.0,0.087002,0.00200009,0.194,0.149997
317.0,0.0679986,0.00299788,0.0729978,0.00200057
282.0,0.0709956,0.00299954,0.0830016,0.00299954
284.0,0.110999,0.00200081,0.186997,0.0900018
323.0,0.115,0.0020051,0.169001,0.0429971
297.0,0.118996,0.00300431,0.131998,0.00300074
340.0,0.0549998,0.00200319,0.0670006,0.00299954
239.0,0.0490015,0.00199962,0.0599964,0.00299835
262.0,0.0659976,0.00199986,0.0700028,0.00300097
290.0,0.143998,0.00200176,0.135,0.0030005
293.0,0.0960021,0.00299859,0.218997,0.176
317.0,0.107998,0.00200152,0.311997,0.186
320.0,0.135998,0.00200057,0.301002,0.253001
367.0,0.0800011,0.00299835,0.0820029,0.00299597
224.0,0.0839989,0.00200033,0.145,0.0640032
295.0,0.088001,0.00300217,0.114,0.0280018
291.0,0.15,0.0019989,0.136999,0.00200152
325.0,0.159999,0.00200057,0.162997,0.00300312
339.0,0.106007,0.00199723,0.117002,0.00300431
307.0,0.0949967,0.0030036,0.0930007,0.00300169
286.0,0.169998,0.00200033,0.170999,0.00200224
388.0,0.116996,0.00300145,0.110998,0.00299978
264.0,0.127996,0.00200152,0.133997,0.00400233
332.0,0.141993,0.00200081,0.142999,0.002002
341.0,0.0920019,0.00200033,0.0870025,0.00299859
319.0,0.0589964,0.00199938,0.0590024,0.00399947
262.0,0.0779991,0.00199914,0.0740011,0.00299835
283.0,0.106999,0.00200129,0.111991,0.00200081
368.0,0.135005,0.00299525,0.133998,0.00199819
359.0,0.139,0.00300074,0.143001,0.00299978
358.0,0.0609999,0.00200152,0.0649996,0.00400138
239.0,0.100001,0.00199914,0.096997,0.00200105
302.0,0.128001,0.00199962,0.132004,0.00199628
352.0,0.125998,0.00400233,0.124003,0.00199819
325.0,0.133999,0.00299954,0.137001,0.00199819
321.0,0.176002,0.0019989,0.184,0.0159969
344.0,0.115002,0.00299788,0.118002,0.00299788
336.0,0.0769989,0.0030005,0.0779979,0.00300264
287.0,0.0670009,0.00199842,0.101,0.0420048
277.0,0.129998,0.00200176,0.139002,0.00200248
363.0,0.0869968,0.00200248,0.0949993,0.00199842
328.0,0.157,0.00199866,0.191997,0.0340021
432.0,0.110997,0.00300241,0.130002,0.00299978
290.0,0.116001,0.00200009,0.128998,0.00200105
390.0,0.314997,0.00300336,0.331003,0.00600266
487.0,0.157002,0.00499797,0.184995,0.00400114
336.0,0.168001,0.00299835,0.159002,0.00300121
410.0,0.204,0.00299788,0.208003,0.00400043
356.0,0.145,0.00300217,0.156994,0.00300026
394.0,0.133,0.0030005,0.236999,0.126
337.0,0.105,0.00300193,0.117,0.00200057
337.0,0.158,0.00300002,0.160002,0.00199914
412.0,0.260001,0.00299954,0.271999,0.00300121
419.0,0.262,0.00400019,0.251997,0.00300384
429.0,0.154,0.00300121,0.233002,0.0949969
337.0,0.0920026,0.0029974,0.0979965,0.00300169
294.0,0.136,0.0030005,0.147,0.00199986
397.0,0.193,0.00300026,0.357,0.306002
412.0,0.172,0.00300169,0.176,0.00300193
480.0,0.268997,0.00300145,0.338004,0.0969963
411.0,0.151001,0.00299835,0.152998,0.00300288
405.0,0.104998,0.00300074,0.111002,0.00300026
354.0,0.0969996,0.00199866,0.13,0.0260012
315.0,0.127,0.00200415,0.196,0.0809991
426.0,0.185002,0.00399756,0.379,0.377001
402.0,0.147004,0.00300074,0.141999,0.0030036
363.0,0.152003,0.00299835,0.148997,0.00300026
369.0,0.107,0.0030005,0.0990005,0.00299931
347.0,0.154001,0.00300121,0.143996,0.00300241
410.0,0.197999,0.00399876,0.302999,0.162003
398.0,0.218001,0.00299811,0.23,0.00300121
477.0,0.227003,0.00399852,0.233999,0.00299978
394.0,0.141998,0.00300336,0.136003,0.00299978
410.0,0.110996,0.00299978,0.266002,0.229998
335.0,0.117001,0.00300312,0.132004,0.0109973
391.0,0.230002,0.00300002,0.216004,0.00299954
450.0,0.251,0.00299954,0.260999,0.00300407
463.0,0.337998,0.00300145,0.490001,0.271002
538.0,0.197002,0.00399661,0.393997,0.339002
386.0,0.0769982,0.00300217,0.164999,0.0899999
311.0,0.125001,0.00299883,0.226997,0.133001
415.0,0.140997,0.00300074,0.154998,0.00400233
