sizes	flex_filter_forward	flex_filter_backward	const_filter_forward	const_filter_backward
335	0.107999	0.00499988	0.107517	0.00502586
391	0.208006	0.00499725	0.220999	0.00500131
450	0.248999	0.00600243	0.222998	0.00500202
463	0.343	0.00500083	0.325003	0.00499487
538	0.212002	0.00500011	0.191392	0.00599742
386	0.0810006	0.00500083	0.0710034	0.00499916
311	0.125001	0.00500059	0.117002	0.00399995
415	0.152999	0.00499988	0.145277	0.0049963
215	0.0290024	0.00399923	0.0280035	0.00399971
225	0.0200062	0.00299478	0.019999	0.00300002
258	0.022999	0.00400376	0.0210006	0.00399995
273	0.0340028	0.00399899	0.033999	0.00399995
281	0.0299973	0.00300121	0.0300019	0.00400019
325	0.0180013	0.00399828	0.0180001	0.00299954
249	0.0319989	0.00500059	0.0329967	0.00399995
254	0.0190008	0.00399971	0.0180008	0.00300002
332	0.0320015	0.00400138	0.0300019	0.00299716
339	0.0658889	0.00399876	0.0550017	0.00300026
340	0.0240002	0.00299859	0.0370033	0.0129983
321	0.0339973	0.00400448	0.0539985	0.0279999
323	0.0480018	0.00400114	0.0880024	0.0369987
348	0.065002	0.00399637	0.119999	0.0750051
385	0.0280004	0.0039978	0.0510004	0.0209997
408	0.0250027	0.0039959	0.0539982	0.0260034
335	0.0249991	0.00400019	0.039999	0.0140009
370	0.0219996	0.0030005	0.0340023	0.0139987
390	0.0390043	0.00399923	0.0859995	0.0510006
342	0.0460019	0.00599861	0.074142	0.0280025
386	0.0399997	0.00399995	0.0780015	0.04
412	0.0539999	0.00399995	0.108997	0.0660021
411	0.0349994	0.00300074	0.0689998	0.0320013
399	0.0310004	0.00400043	0.0591011	0.033999
343	0.0310004	0.00299907	0.046999	0.016
339	0.0450006	0.00399995	0.0839996	0.0400023
403	0.0769968	0.00500011	0.137998	0.0880046
426	0.079	0.00400233	0.186999	0.149517
498	0.0589993	0.0040009	0.128999	0.0820005
472	0.0419998	0.00400019	0.096997	0.0489998
410	0.0440001	0.00400043	0.0829985	0.0440044
421	0.043	0.00300002	0.0700042	0.0299957
472	0.0530021	0.00499773	0.101004	0.0489976
528	0.0820031	0.00500083	0.144997	0.0820067
541	0.0339968	0.00400019	0.0669997	0.0330024
458	0.0509999	0.0049994	0.108	0.0630002
401	0.0480013	0.00399661	0.084033	0.0370026
508	0.0500047	0.00399923	0.0510015	0.00399876
463	0.0440023	0.00399923	0.0520027	0.00399756
403	0.0429995	0.00399947	0.0479989	0.00399995
445	0.0390027	0.00399828	0.0419967	0.00500131
453	0.0289972	0.00399995	0.0280018	0.00500059
381	0.0469966	0.00400281	0.0439985	0.00399971
351	0.0709956	0.00399971	0.0609999	0.00300074
439	0.0559995	0.00399995	0.0550022	0.00399876
494	0.0840015	0.00399852	0.089	0.00399733
529	0.0530007	0.00300026	0.0609992	0.0039978
503	0.0470045	0.00596786	0.046001	0.00499916
450	0.0999992	0.00499582	0.100002	0.0030005
489	0.0830033	0.0039978	0.073	0.00399971
517	0.206005	0.00599813	0.161	0.00400257
583	0.0949981	0.00400281	0.082999	0.00400066
611	0.138001	0.0059998	0.107999	0.00500178
561	0.0960028	0.00399685	0.0830026	0.0039978
563	0.0669994	0.00500178	0.0609994	0.00499892
529	0.0900002	0.0050087	0.0819988	0.00400019
559	0.0699971	0.00399995	0.0650008	0.00399947
572	0.125999	0.00500083	0.125002	0.00399923
590	0.0539985	0.00500059	0.0539978	0.00399995
545	0.107999	0.00600362	0.098001	0.00499988
476	0.103003	0.0089972	0.0869999	0.00499988
518	0.0850017	0.00500274	0.0720053	0.00400043
531	0.136005	0.00499487	0.109999	0.00499868
566	0.166005	0.00399971	0.146999	0.00400019
593	0.205995	0.00400019	0.197	0.00400019
637	0.0509989	0.0050025	0.0469046	0.00399923
547	0.152995	0.00600243	0.107002	0.00500107
479	0.0679996	0.00399971	0.0589995	0.00400066
544	0.171004	0.00499392	0.153001	0.00400162
562	0.173996	0.00500083	0.137998	0.00400209
600	0.173006	0.00499749	0.166	0.00599933
604	0.117004	0.00400019	0.111003	0.00499821
557	0.175997	0.00500059	0.174001	0.00499964
621	0.059	0.00499988	0.0640004	0.00399995
598	0.194999	0.00499988	0.199441	0.00600028
553	0.109001	0.00499964	0.116002	0.00399661
618	0.126	0.00399995	0.132998	0.00500035
619	0.0910001	0.00400066	0.0959995	0.0039978
553	0.0710015	0.00499892	0.0660017	0.00399899
509	0.117999	0.00299907	0.116	0.00499916
612	0.157	0.00399971	0.152001	0.00399899
680	0.0919998	0.00400138	0.0899985	0.00499964
664	0.0720024	0.00499797	0.0670016	0.00500154
568	0.117997	0.00400019	0.115997	0.00499916
503	0.102998	0.00400019	0.102002	0.00299954
610	0.079	0.00399995	0.0789981	0.00400019
626	0.15	0.00500059	0.153949	0.00399733
593	0.152001	0.00399733	0.153003	0.00500107
602	0.119998	0.00500011	0.133	0.00499701
631	0.098001	0.00500202	0.118001	0.0049994
589	0.0780029	0.00399637	0.0879991	0.00400019
535	0.103	0.00500131	0.110002	0.00399899
596	0.131004	0.00399852	0.132002	0.00399923
651	0.146997	0.00500035	0.171997	0.00400019
712	0.0850039	0.00499916	0.106	0.00700068
668	0.197995	0.00500131	0.213003	0.0059967
638	0.253004	0.00400019	0.273002	0.00500059
801	0.175998	0.00400019	0.188996	0.00500035
763	0.314002	0.00499821	0.302001	0.00700045
695	0.117998	0.00500369	0.124999	0.0040009
692	0.211999	0.00500154	0.207002	0.00499892
705	0.118001	0.00400209	0.116002	0.00399828
672	0.131999	0.00500011	0.128	0.00499916
628	0.158997	0.00500154	0.154003	0.00499988
701	0.228001	0.00599766	0.254998	0.00499868
753	0.198	0.00499988	0.204001	0.00499773
775	0.140001	0.00500035	0.133998	0.00500059
707	0.115004	0.00500059	0.108001	0.00499964
592	0.179001	0.00399876	0.169001	0.00499892
646	0.132	0.00600457	0.131998	0.00500321
755	0.270999	0.00500011	0.275	0.00399876
842	0.218003	0.00499868	0.203999	0.0040009
809	0.229998	0.00600052	0.214	0.00500011
763	0.154003	0.0059967	0.157001	0.00499773
719	0.105	0.00500178	0.106092	0.00499988
626	0.163999	0.00499964	0.172998	0.00499988
698	0.105999	0.00500131	0.103002	0.00399899
771	0.161001	0.0050056	0.178998	0.00499988
717	0.162004	0.00500059	0.166998	0.00500011
680	0.136004	0.00499868	0.128999	0.00500035
684	0.141001	0.00600004	0.161	0.0110006
710	0.186999	0.00499988	0.212003	0.00499964
747	0.195999	0.00500083	0.184998	0.00399947
815	0.179004	0.0059979	0.169	0.00500059
804	0.22452	0.00599837	0.2	0.00499964
766	0.109	0.00500202	0.112	0.00400019
700	0.127003	0.00499678	0.121001	0.00499845
692	0.158005	0.00500083	0.153002	0.00399899
778	0.182997	0.00400019	0.182	0.00399828
843	0.329002	0.00499725	0.318002	0.00499916
905	0.171999	0.00600004	0.194	0.00499988
857	0.142	0.00499988	0.157998	0.00699997
668	0.173	0.00499988	0.193998	0.00500131
688	0.135001	0.00500607	0.144	0.00499988
311	0.0370045	0.00300002	0.0379987	0.00400233
343	0.046001	0.00400066	0.0449996	0.00500011
367	0.0619979	0.00399971	0.0620012	0.00399995
402	0.0745206	0.00399971	0.0670018	0.00699925
418	0.0369985	0.0040009	0.0379965	0.00399971
386	0.0579975	0.00400019	0.0610018	0.00499916
380	0.0550001	0.00399971	0.0569997	0.00399876
413	0.0410004	0.00400019	0.0410004	0.00400472
459	0.0890009	0.00499964	0.0890012	0.00499701
480	0.0449991	0.00500011	0.0440009	0.00500035
464	0.079999	0.00400162	0.0850053	0.00399613
474	0.081001	0.00399947	0.0839987	0.00499964
469	0.099999	0.00399995	0.104511	0.00508189
520	0.0409992	0.00500059	0.0419984	0.00499964
560	0.0449996	0.00500011	0.0409999	0.00500464
523	0.086	0.00500345	0.0810003	0.00499892
546	0.0469959	0.00399995	0.0490026	0.00499725
511	0.051003	0.00499797	0.0530005	0.00500131
540	0.0950053	0.00499487	0.0919991	0.00499988
524	0.0885634	0.0059998	0.0760002	0.00400209
555	0.0830007	0.00500059	0.0749996	0.00399971
593	0.0539968	0.00500011	0.0550017	0.00499773
579	0.0560005	0.00500107	0.0590017	0.00500059
524	0.0680006	0.00500274	0.0610006	0.00399947
518	0.0700021	0.00500011	0.0690014	0.00399852
515	0.128999	0.0049994	0.116513	0.00400186
587	0.111003	0.00499749	0.106	0.00499988
632	0.0990019	0.00500178	0.0869973	0.00499988
682	0.0900013	0.00499749	0.0800023	0.00599957
628	0.105002	0.00599957	0.0930016	0.0059979
608	0.101001	0.00499964	0.099998	0.00400019
641	0.107001	0.0049994	0.0970001	0.00500035
717	0.119	0.00500035	0.114	0.00499988
753	0.074003	0.00600052	0.0740001	0.00600147
699	0.105995	0.00600004	0.0929987	0.00499916
649	0.0989985	0.00500011	0.0960023	0.00599813
655	0.0730002	0.00499964	0.0690026	0.0039978
648	0.0819998	0.00700355	0.0750008	0.00500011
658	0.0939982	0.00600123	0.0939977	0.00600004
596	0.0910058	0.00599766	0.0840003	0.00500011
643	0.0769994	0.00500011	0.0659986	0.00500393
590	0.0880024	0.00499964	0.0829978	0.00500178
542	0.121998	0.0050025	0.122001	0.00499988
566	0.098	0.00500011	0.100001	0.00500631
646	0.145999	0.00500441	0.136998	0.00600052
725	0.0970001	0.00600147	0.100997	0.00600004
722	0.0999982	0.00599861	0.105998	0.00600171
687	0.194	0.00500035	0.198997	0.00500011
674	0.134001	0.0040009	0.12	0.00600028
691	0.251002	0.00499892	0.242001	0.00499845
797	0.155998	0.00499892	0.137999	0.00599861
806	0.209	0.00600076	0.205007	0.00599957
847	0.204998	0.00600171	0.194997	0.00600147
779	0.114003	0.00599861	0.120002	0.00499988
791	0.161998	0.0059998	0.161001	0.0049994
778	0.163998	0.00600219	0.158004	0.0059979
787	0.208003	0.00599813	0.202001	0.00600028
833	0.122	0.00600004	0.129	0.00600004
777	0.168	0.00600052	0.176001	0.00600076
744	0.179	0.00600028	0.186998	0.00600529
699	0.148001	0.00599861	0.154999	0.00499916
741	0.191	0.00599957	0.180328	0.00500107
764	0.233001	0.0059998	0.248	0.00599957
793	0.331002	0.00599933	0.355947	0.00599623
853	0.115998	0.00700235	0.124	0.0070014
792	0.211998	0.00600028	0.202	0.00600076
756	0.167	0.00599933	0.156999	0.00500035
709	0.237003	0.0049994	0.20756	0.00499988
772	0.253003	0.00599957	0.253999	0.00599718
799	0.309002	0.006001	0.291001	0.00399876
820	0.228998	0.00699902	0.198526	0.00599742
820	0.379	0.00600028	0.348999	0.00499988
848	0.131002	0.00600076	0.127	0.00600004
815	0.299002	0.00700021	0.274999	0.00599957
841	0.282006	0.00599217	0.271999	0.00499725
809	0.194002	0.0059979	0.184999	0.00700164
851	0.186002	0.006001	0.174103	0.00700212
812	0.134	0.00700212	0.135997	0.0059998
771	0.254	0.00600052	0.241998	0.00499868
803	0.259998	0.00600052	0.264003	0.00499797
878	0.227001	0.00600028	0.203505	0.00600076
959	0.142998	0.00699997	0.134	0.006001
845	0.195999	0.00699878	0.188335	0.00600123
793	0.235996	0.00600004	0.222001	0.00499773
783	0.146002	0.00499845	0.128999	0.00499749
865	0.239836	0.00599957	0.239002	0.00599742
858	0.307001	0.00600314	0.298003	0.00599742
835	0.221147	0.00499868	0.224002	0.00600004
853	0.192001	0.00599813	0.194348	0.00699997
847	0.173	0.00699973	0.170998	0.00700116
800	0.232002	0.00599885	0.242001	0.00600123
821	0.23	0.0059998	0.236999	0.006001
848	0.274006	0.0079987	0.276128	0.00600123
998	0.195999	0.00700307	0.195003	0.00600004
917	0.319003	0.00699663	0.336624	0.00599957
964	0.564004	0.00600004	0.555	0.00600052
1000	0.29099	0.00699615	0.289999	0.00600028
1033	0.443001	0.00800252	0.417429	0.00599909
1052	0.264004	0.00799823	0.251992	0.00900245
946	0.339001	0.00800037	0.328995	0.00699973
1001	0.246999	0.00699878	0.237767	0.00799918
941	0.233003	0.00700068	0.222013	0.00699949
928	0.357001	0.00599909	0.34746	0.00500083
954	0.346003	0.00699711	0.326	0.00499892
994	0.419006	0.00699759	0.426011	0.00700045
1074	0.257002	0.00799632	0.26401	0.00799942
1020	0.208002	0.00799489	0.216346	0.00900006
924	0.361003	0.00499988	0.356001	0.00499988
900	0.303003	0.00699806	0.307	0.0059967
969	0.4325	0.00700378	0.415	0.00699973
1121	0.406002	0.00699663	0.415001	0.00700212
1121	0.358003	0.00799894	0.363002	0.00999737
1109	0.294	0.00599909	0.315	0.00700188
1032	0.173003	0.00799823	0.190006	0.00799561
951	0.328002	0.00599813	0.340003	0.00999999
971	0.231525	0.00699997	0.256	0.00599742
1018	0.239996	0.00599837	0.254	0.00600004
1035	0.298006	0.00799894	0.310997	0.00800276
996	0.303004	0.00800204	0.291001	0.00599909
956	0.326999	0.0080018	0.312001	0.00500011
1008	0.321998	0.00699902	0.301549	0.00499868
1001	0.377002	0.00800419	0.363	0.00799727
1121	0.340003	0.00700045	0.313384	0.00599813
1100	0.347	0.00899744	0.317001	0.0090003
1120	0.221999	0.00800204	0.202004	0.00799561
1017	0.267004	0.0079999	0.284061	0.00699902
1020	0.350002	0.00599909	0.391032	0.00699806
1048	0.307007	0.00799417	0.301001	0.00499916
1134	0.528004	0.00799656	0.521	0.00599885
1218	0.329005	0.00899625	0.336998	0.00600004
1183	0.263999	0.00799751	0.245794	0.00799894
1084	0.375445	0.00899649	0.388998	0.00799918
1000	0.294	0.00600171	0.318999	0.00900149
423	0.0609925	0.00500298	0.0689979	0.00400162
436	0.0749996	0.00500035	0.0829961	0.00499988
489	0.0960009	0.00399995	0.113003	0.00499749
517	0.0450001	0.00499845	0.0510027	0.00499725
470	0.0799983	0.00500011	0.0849998	0.00400019
500	0.094003	0.00600076	0.133003	0.0229986
524	0.0659983	0.00500441	0.0809984	0.006001
535	0.117999	0.00399995	0.117999	0.00600052
587	0.0649991	0.0049994	0.0660002	0.00600147
590	0.120004	0.00599766	0.109003	0.00600004
595	0.103999	0.00500083	0.106999	0.00599885
605	0.142999	0.00500011	0.141999	0.00600076
628	0.0649998	0.00499892	0.0689991	0.00500083
693	0.0610025	0.0059979	0.0689976	0.00600004
664	0.145004	0.0059998	0.150002	0.00600243
708	0.0819981	0.0049994	0.0879982	0.0059979
675	0.0859978	0.00600052	0.0830026	0.00700617
656	0.125	0.0059998	0.129018	0.00599813
706	0.112997	0.00699902	0.110999	0.0049994
681	0.122	0.00600505	0.114998	0.00600052
724	0.0840025	0.00599909	0.0760009	0.006001
750	0.0800033	0.00699854	0.0699956	0.00600052
693	0.0940034	0.00600004	0.0889993	0.00600076
685	0.118996	0.00600004	0.112002	0.00499916
685	0.151999	0.0059998	0.149	0.00600171
688	0.148999	0.00500011	0.146232	0.00600076
782	0.146999	0.00700235	0.127999	0.00600123
805	0.118002	0.00700045	0.109	0.00699973
827	0.159002	0.00799918	0.156998	0.00600243
804	0.16	0.00700164	0.151	0.0100024
805	0.154001	0.00599766	0.140446	0.00600052
865	0.186	0.00799966	0.162001	0.00600004
928	0.116002	0.00699735	0.107	0.00699973
890	0.168996	0.0079999	0.155001	0.00800085
873	0.155003	0.00699973	0.152521	0.00700068
887	0.113998	0.00600004	0.109997	0.00700259
791	0.128999	0.00700021	0.118997	0.00700212
836	0.152002	0.00600076	0.139999	0.00600028
832	0.135001	0.0069983	0.121999	0.00699973
774	0.102002	0.00600076	0.101001	0.00599766
756	0.135999	0.00700021	0.137	0.00700021
735	0.164	0.00599885	0.166	0.00600052
737	0.174002	0.0059979	0.172	0.0049994
759	0.193004	0.00599718	0.195001	0.00600004
854	0.137996	0.00700092	0.118999	0.00600028
908	0.168999	0.00699854	0.160003	0.00799775
888	0.233521	0.0079987	0.232999	0.0059998
880	0.196999	0.00600028	0.186003	0.00699735
860	0.299	0.00600147	0.306001	0.00600481
952	0.221998	0.00799966	0.215175	0.00700021
996	0.289003	0.00699973	0.293016	0.00699902
1017	0.269794	0.00900054	0.27	0.00799894
1031	0.201	0.0090003	0.192999	0.00800109
989	0.226999	0.00800014	0.240015	0.00799561
1021	0.277002	0.00800347	0.296	0.00800157
982	0.297003	0.00799727	0.297525	0.00700045
1028	0.163998	0.0079999	0.152002	0.0079968
999	0.244998	0.00900364	0.238	0.00700092
948	0.298002	0.00799775	0.293998	0.00800014
941	0.272001	0.00699997	0.268001	0.00700212
896	0.250002	0.00699973	0.239015	0.0139964
948	0.304003	0.00799775	0.334997	0.00599837
970	0.471003	0.0110004	0.449805	0.00699878
1029	0.188002	0.00799894	0.170999	0.00800037
985	0.278997	0.00800371	0.263003	0.00799823
973	0.257998	0.0079987	0.254998	0.00605154
955	0.345529	0.00599885	0.354	0.0079968
919	0.303	0.00700307	0.312003	0.00699925
983	0.348003	0.00599909	0.358868	0.00800133
989	0.289997	0.00799894	0.287	0.0079999
1011	0.487	0.00800109	0.505002	0.00799751
1063	0.188	0.00700045	0.191	0.00900197
1024	0.402	0.00800252	0.403999	0.00799966
1031	0.361923	0.00800061	0.361004	0.00799847
1051	0.287	0.00800037	0.297006	0.00899434
1024	0.256001	0.00799823	0.255	0.00800085
1009	0.203	0.00899768	0.211998	0.00899935
1007	0.357007	0.0079968	0.375045	0.00699997
1030	0.383998	0.00900006	0.363996	0.00700188
1038	0.308213	0.0092485	0.320004	0.00799799
1132	0.204	0.00899911	0.200002	0.00799823
1114	0.320006	0.00999808	0.293572	0.00899673
1052	0.334002	0.00800085	0.327002	0.00699925
1040	0.274616	0.00900054	0.251998	0.00800014
1017	0.304002	0.00800109	0.295001	0.00699854
1072	0.428413	0.0089972	0.418344	0.00800228
1066	0.314999	0.00899768	0.326997	0.00800157
1063	0.271003	0.00799751	0.261997	0.00700021
1048	0.244004	0.00999904	0.231001	0.00799894
1035	0.370001	0.0079999	0.379	0.00800037
1049	0.314999	0.00899959	0.304999	0.0059979
1047	0.441001	0.00799966	0.42	0.00599718
1172	0.241999	0.0079999	0.222	0.00800037
1172	0.441	0.00999904	0.44461	0.00900102
1184	0.729	0.00999904	0.771048	0.00899935
1265	0.407007	0.00999904	0.393556	0.0100005
1207	0.547529	0.0109985	0.5675	0.00900292
1291	0.407	0.00999784	0.394	0.00800014
1271	0.575885	0.0110009	0.562051	0.00699735
1220	0.380018	0.0089817	0.350002	0.00800085
1210	0.416003	0.00999856	0.398001	0.00599742
1168	0.492998	0.0100017	0.476001	0.00900269
1208	0.527	0.00799847	0.487	0.00900102
1219	0.586002	0.00800061	0.568337	0.00999928
1265	0.337	0.00699973	0.332002	0.0129969
1283	0.291003	0.00999951	0.292	0.00900316
1207	0.523429	0.00999784	0.512	0.00999808
1182	0.482001	0.00799918	0.474125	0.00999999
1187	0.590002	0.00899887	0.619001	0.00800037
1296	0.610998	0.0100033	0.617284	0.0100038
1360	0.508	0.0110006	0.528694	0.0120006
1384	0.412004	0.00800014	0.414991	0.0109997
1330	0.299003	0.00899959	0.298016	0.0079999
1248	0.504	0.0100017	0.470859	0.0100012
1253	0.444001	0.00999832	0.413075	0.00699997
1257	0.335005	0.00999808	0.328009	0.00800014
1260	0.397999	0.0100017	0.372327	0.0100029
1279	0.459993	0.00999999	0.418999	0.0090003
1228	0.484019	0.0100012	0.487005	0.00999665
1234	0.466068	0.00999713	0.46487	0.00699925
1273	0.533487	0.00899959	0.51902	0.00699997
1340	0.437047	0.00798368	0.425	0.00800204
1370	0.478135	0.0079999	0.451999	0.0119994
1392	0.310004	0.0100009	0.312001	0.0119982
1342	0.403343	0.0109954	0.401	0.0120037
1299	0.557003	0.00899792	0.579001	0.0109966
1330	0.561996	0.00899959	0.547273	0.00900102
1382	0.688219	0.010998	0.667055	0.0100014
1469	0.459002	0.0139973	0.443999	0.00799656
1465	0.365003	0.0119991	0.351003	0.0119989
1381	0.573999	0.0119998	0.560856	0.0119996
1362	0.494004	0.0119967	0.467423	0.00799894
508	0.104995	0.00500083	0.0990005	0.00499988
548	0.118004	0.00599933	0.116997	0.00499988
587	0.0680015	0.00600004	0.0709994	0.00599933
565	0.110516	0.00600314	0.109002	0.0059998
573	0.112	0.0059998	0.111028	0.00500154
629	0.1	0.00500083	0.0989993	0.00500035
633	0.151998	0.00600004	0.158002	0.00600004
654	0.0799992	0.00600028	0.0800006	0.00599957
691	0.131957	0.00600052	0.132999	0.0059998
705	0.138002	0.00599837	0.147998	0.00699973
717	0.188005	0.00699711	0.192998	0.00600004
749	0.111998	0.00699997	0.103997	0.00700068
789	0.0769999	0.00700068	0.0790031	0.00599885
784	0.179002	0.00699663	0.166615	0.00700283
825	0.104998	0.00700045	0.111999	0.00699925
824	0.130999	0.00700021	0.132001	0.00700021
804	0.164998	0.00700021	0.164997	0.00900245
809	0.152	0.00599861	0.145005	0.00699615
850	0.176999	0.00699973	0.179062	0.00700092
838	0.107001	0.00700021	0.111998	0.00700068
874	0.0960007	0.0070045	0.0970018	0.00700092
858	0.143998	0.00699973	0.145997	0.0160012
845	0.141998	0.0059998	0.145515	0.00700021
836	0.211997	0.00699997	0.212998	0.00700021
850	0.182999	0.00699973	0.183003	0.00699806
873	0.169	0.00700259	0.172999	0.00699711
941	0.172568	0.0079999	0.163999	0.0079999
942	0.195001	0.0079999	0.198094	0.00800061
987	0.215001	0.00799966	0.201001	0.0079987
981	0.19102	0.00700068	0.197031	0.00800157
1022	0.221003	0.00799704	0.204	0.00899792
1059	0.138999	0.0080018	0.129001	0.00799823
1049	0.226998	0.0090003	0.201	0.00900006
1044	0.228002	0.00899959	0.217999	0.00900173
