5.77438e+07	2.5251e+06	2.97245e+08	nan	nan
2.99703e+07	1.90163e+06	4.44414e+08	nan	nan
1.69484e+07	3.13005e+06	3.15973e+08	nan	nan
9.2474e+06	1.60679e+06	2.28528e+08	nan	nan
7.95687e+06	2.422e+06	1.43766e+08	nan	nan
1.37156e+07	1.2859e+06	2.53661e+08	nan	nan
1.45539e+07	1.6572e+06	2.12351e+08	nan	nan
6.36867e+06	658888	9.43732e+07	nan	nan
7.9727e+06	490818	8.69659e+07	nan	nan
9.20838e+06	414762	6.8482e+07	nan	nan
8.28275e+06	1.79088e+06	6.14131e+07	nan	nan
4.76086e+06	1.76387e+06	1.11562e+08	nan	nan
5.80661e+06	417703	3.31118e+07	nan	nan
9.94972e+06	976831	3.2608e+07	nan	nan
3.19601e+06	253702	3.52829e+07	nan	nan
4.66252e+06	968712	3.10949e+07	nan	nan
1.3851e+07	247936	3.47595e+07	nan	nan
2.88316e+06	341200	2.22804e+07	nan	nan
5.55323e+06	209107	1.74183e+07	nan	nan
5.11956e+06	188976	7.84053e+06	nan	nan
7.78226e+06	196494	5.41988e+06	nan	nan
3.46942e+06	223935	6.18884e+06	nan	nan
7.68379e+06	277070	8.44835e+06	nan	nan
6.0389e+06	282870	2.40837e+06	nan	nan
1.23332e+06	173453	2.0379e+07	nan	nan
1.30725e+07	172745	5.4108e+06	nan	nan
1.1231e+06	171948	3.27963e+07	nan	nan
6.64428e+06	170454	6.69578e+06	nan	nan
5.18165e+06	168637	6.90981e+06	nan	nan
8.34126e+06	161043	8.02079e+06	nan	nan
4.63956e+06	153353	1.51892e+06	nan	nan
7.41021e+06	166102	7.90313e+06	nan	nan
1.1808e+07	163949	4.35576e+06	nan	nan
1.79969e+07	169669	2.62076e+06	nan	nan
5.1172e+06	167771	5.51288e+06	nan	nan
2.259e+06	153702	1.26403e+06	nan	nan
805823	166260	375271	nan	nan
7.97735e+06	160843	960544	nan	nan
7.96648e+06	168335	1.02046e+06	nan	nan
2.6363e+06	145910	455515	nan	nan
2.72552e+06	169202	510174	nan	nan
3.29613e+06	163953	4.24554e+06	nan	nan
1.43338e+06	167877	315138	nan	nan
946577	163513	1.12366e+06	nan	nan
1.50401e+06	157766	337319	nan	nan
406206	145174	357336	nan	nan
1.09386e+06	166054	334184	nan	nan
1.05071e+06	159210	811374	nan	nan
2.34651e+06	156788	245211	nan	nan
1.47233e+06	162575	882408	nan	nan
1.26197e+06	156890	228405	nan	nan
1.69182e+06	159726	829435	nan	nan
5.72288e+06	167483	343718	nan	nan
145014	165630	1.52915e+06	nan	nan
203061	151942	377498	nan	nan
7.15565e+06	167140	477781	nan	nan
1.99551e+06	159626	1.65103e+06	nan	nan
5.10044e+06	166851	301186	nan	nan
998759	163557	3.2266e+06	nan	nan
1.71804e+06	156981	402282	nan	nan
3.34851e+06	150690	883747	nan	nan
2.89579e+06	162741	533929	nan	nan
2.77909e+06	134712	590626	nan	nan
2.09767e+06	133157	876440	nan	nan
729354	158656	272779	nan	nan
257345	147605	201230	nan	nan
4.0392e+06	149613	2.69968e+06	nan	nan
3.93672e+06	136690	1.10364e+06	nan	nan
2.04097e+06	143747	269440	nan	nan
917949	141174	820076	nan	nan
186979	117898	984985	nan	nan
3.94051e+06	132065	276634	nan	nan
529180	114189	565448	nan	nan
989945	118686	2.75094e+06	nan	nan
2.19308e+06	115834	956947	nan	nan
1.09327e+06	115383	240481	nan	nan
461964	94556.1	377466	nan	nan
721341	111063	224007	nan	nan
3.18982e+06	107442	214207	nan	nan
3.23516e+06	104224	185624	nan	nan
429724	96362.8	189278	nan	nan
136830	101753	204718	nan	nan
1.97831e+06	94927.6	254515	nan	nan
2.50984e+06	93736.7	181824	nan	nan
103593	116718	189737	nan	nan
2.11678e+06	104427	242748	nan	nan
598665	103284	167632	nan	nan
1.34075e+06	118454	900576	nan	nan
1.2717e+06	88786.9	209230	nan	nan
1.26451e+06	95933.7	176028	nan	nan
356593	96252	404812	nan	nan
770787	91314.6	190049	nan	nan
632837	91893.9	210287	nan	nan
1.50679e+06	91534.7	195995	nan	nan
174350	117625	222980	nan	nan
824074	91561.4	196268	nan	nan
230930	89696.8	201747	nan	nan
